,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16,Class 17,Class 18,Class 19,Class 20,Class 21,Class 22,Class 23,Class 24,Class 25,Class 26,Class 27,Class 28,Class 29,Class 30,Class 31,Class 32,Class 33,Class 34,Class 35,Class 36,Class 37,Class 38,Class 39,Class 40,Class 41,Class 42,Class 43,Class 44,Class 45,Class 46,Class 47,Class 48,Class 49,Class 50,Class 51,Class 52,Class 53,Class 54,Class 55,Class 56,Class 57,Class 58,Class 59,Class 60,Class 61,Class 62,Class 63,Class 64,Class 65,Class 66,Class 67,Class 68,Class 69,Class 70,Class 71,Class 72,Class 73,Class 74,Class 75,Class 76,Class 77,Class 78,Class 79,Class 80,Class 81,Class 82,Class 83,Class 84,Class 85,Class 86,Class 87,Class 88,Class 89,Class 90,Class 91,Class 92,Class 93,Class 94,Class 95,Class 96,Class 97,Class 98,Class 99
Class 0,67,3,1,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Class 1,0,49,1,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,4,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,1,1,1,0,2,0,0,0,1,0,1
Class 2,2,5,29,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,3,0,0,3,4,0,0,1,1,1,1,0,0,2,4,0,1,0,0,0,0,2,3,0,0,6,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,1,2,1,0,0,0,1,0,0,0,0,1,1,0
Class 3,0,0,1,15,4,0,1,5,0,0,0,0,0,1,1,1,0,0,0,5,0,7,0,1,1,0,0,2,0,0,1,5,0,1,0,0,3,0,1,0,0,0,2,0,0,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,4,0,5,4,1,0,0,0,2,0,1,0,0,1,0,1,0,2,2,0,2,0,0,2,1,0,1,0
Class 4,0,6,1,2,1,0,5,2,0,0,0,0,0,0,1,0,1,0,3,1,0,2,0,0,1,0,1,2,0,1,3,0,4,3,1,0,0,0,0,0,1,1,3,1,1,0,0,2,0,1,2,1,0,0,0,2,1,2,0,1,0,1,0,12,0,1,1,0,0,0,2,0,0,0,5,1,0,4,0,0,0,0,4,0,0,0,0,0,1,2,0,0,2,3,0,0,1,0,0,0
Class 5,0,3,1,0,0,47,0,0,3,0,1,0,2,3,0,0,0,0,1,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
Class 6,0,2,0,0,0,0,45,6,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
Class 7,1,1,1,1,0,0,3,38,0,0,0,0,0,0,6,2,0,0,1,1,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,3,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,4,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Class 8,0,0,0,0,0,0,1,3,50,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,4,1,0,1,0,0,0,0,0,0,0,0
Class 9,0,0,1,0,0,0,0,0,0,57,1,2,0,0,0,0,2,1,0,0,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0
